Название муниципалитета;Наименование общеобразовательной организации;Адрес общеобразовательной организации;Скорость передачи данных по договору;Учетное имя в АСР Onyma;PE маршрутизатор;Интерфейс;IP WAN (/30);IP LAN (/27);Оборудование ПМ;Порт ПМ;Примечание;;;;;
Столбец №1;Столбец №2;Столбец №3;Столбец №6;Столбец №8;Столбец №9;Столбец №10;Столбец №11;Столбец №12;Столбец №13;Столбец №14;Столбец №15;;;;;
г. Ростов-на-Дону;МБОУ «Лицей № 57»;ул. Мечникова, 19а;2048 Кбит/с;rs00172054;80.254.100.4;lt-0/0/0.273;172.23.180.125;10.61.163.224;;;Стык с РТКОММ;;;;;
г. Ростов-на-Дону;МБОУ «Школа № 10»;ул. Ректорская,11;1 Мбит/с;;80.254.100.4;lt-0/0/0.273;172.23.180.165;10.61.165.32;;;Стык с РТКОММ;;;;;
г. Ростов-на-Дону;МБОУ Школа № 16;ул. Вятская. 27;2048 Кбит/с;8631032783;80.254.100.4;lt-0/0/0.281;172.23.178.57;10.61.145.192;10.108.33.1/10.108.198.1;vl2509;;;;;;
г. Ростов-на-Дону;МБОУ «Лицей № 20»;ул. Металлургическая, 100;2048 Кбит/с;;80.254.100.4;lt-0/0/0.277;172.23.180.177;10.61.165.128;10.109.182.1;0/ 5/41;;;;;;
г. Ростов-на-Дону;МБОУ «Школа 21»;Пр. Мира, 6;2048 Кбит/с;;80.254.100.4;lt-0/0/0.279;172.23.175.169;10.61.125.64;10.108.9.1;5/0/26;;;;;;
г. Ростов-на-Дону;МБОУ «Школа № 23»;ул.Глинки,95;2048 Кбит/с;8631032782;80.254.100.4;lt-0/0/0.277;172.23.178.53;10.61.145.160;10.109.182.1;0/5/41;;;;;;
г. Ростов-на-Дону;МБОУ «Школа № 105» ;ул. Лелюшенко 3/4;2048 Кбит/с;8631032818;80.254.100.4;lt-0/0/0.281;172.23.175.185;10.61.125.192;10.108.33.1/10.108.198.1;vl2509;;;;;;
г. Ростов-на-Дону;МБОУ «Школа №109»;пер. Днепровский, 131;2048 Кбит/с;rs00259044;80.254.100.4;lt-0/0/0.273;172.23.180.193;10.61.166.0;;;Стык с РТКОММ;;;;;
г. Ростов-на-Дону;МБОУ Школа № 1;г.Ростов-на-Дону,ул.Советская 30/1 344019;2048 Кбит/с;;80.254.100.4;lt-0/0/0.279;172.23.180.201;10.61.166.64;10.108.43.1;0/0/24;;;;;;
г. Ростов-на-Дону;МБОУ Школа № 8;ул. Буйнакская, 15;1 Mбит/с;;80.254.100.4;lt-0/0/0.273;172.23.180.209;10.61.166.128;;;Стык с РТКОММ;;;;;
г. Ростов-на-Дону;МБОУ Гимназия № 12;ул. Комсомольская, 57/25;2048 Кбит/с;;80.254.100.4;lt-0/0/0.279;172.23.180.217;10.61.166.192;10.108.9.1;Adsl5/0/26;Корректная ПМ может быть указана в ул. Листопадова, 42/79;;;;;
г. Ростов-на-Дону;МБОУ Школа № 26 ;ул. Листопадова, 42/79;2048 Кбит/с;;80.254.100.4;lt-0/0/0.279;172.23.180.233;10.61.167.64;10.108.43.1;0/0/24;Корректная ПМ может быть указана в ул. Комсомольская, 57/25;;;;;
г. Ростов-на-Дону;МБОУ «Школа № 44»;ул. Днепропетровская, 14;20 Мбит/с;rs00254822;80.254.100.4;lt-0/0/0.3549;172.23.175.177;10.61.125.128 /27;10.3.45.32;Eth0/0/8;vlan 3548;;;;;
г. Ростов-на-Дону;МБОУ Школа № 94 ;пр. 40-летия Победы, 63, 65/5;1 Мбит/с;;80.254.100.4;lt-0/0/0.245;172.23.180.241;10.61.167.128;10.11.80.17;11/0/29;;;;;;
г. Ростов-на-Дону;МБОУ Школа № 106 ;пр. 40-летия Победы, 87/4 ;1 Мбит/с;;80.254.100.4;lt-0/0/0.245;172.23.175.217;10.61.126.192;10.11.80.137;0/15/40;;;;;;
г. Ростов-на-Дону;МБОУ Школа № 37;ул. 2-я Краснодарская. 68;2048 Кбит/с;;80.254.100.4;lt-0/0/0.241;172.23.181.5;10.61.168.32;10.108.26.1;0/0/31;;;;;;
г. Ростов-на-Дону;ГКОУ РО Ростовская школа-интернат № 42;344112, г. Ростов-на-Дону, ул. Леваневского, дом 34;2 Мбит/с;internat_42;;;;;;;PPPoE подключение;;;;;
г. Ростов-на-Дону;МБОУ «Школа № 47»;г.Ростов-на-Дону,ул.Максима Горького 166 344006;2048 Кбит/с;;80.254.100.4;lt-0/0/0.3519;172.23.175.125;10.61.123.224;10.108.35.1;0/0/31;;;;;;
г.Таганрог;МАОУ гимназия № 2 имени А.П.Чехова;ул. Кирова, 2, г.Таганрог, Ростовская область, 347924;20 Мбит/с;p39252;80.254.100.4;lt-0/0/0.111;172.23.176.41;10.61.129.64;10.24.185.23;Eth0/0/21;;;;;;
г.Таганрог;МБОУ средняя общеобразовательная школа № 3 им. Ю.А.Гагарина;ул. Калинина, 109, г.Таганрог, Ростовская область, 347913;20 Мбит/с;p35049;80.254.100.4;lt-0/0/0.23;172.23.175.253;10.61.127.224;10.24.188.9;Eth0/0/2;;;;;;
г.Таганрог;МБОУ СОШ № 6;ул. Инициативная, 38, г.Таганрог, Ростовская область, 347942;20 Мбит/с;p22870;80.254.100.4;lt-0/0/0.123;172.23.181.45;10.61.169.96;10.30.44.35;GE0/0/12;;;;;;
г.Таганрог;МБОУ лицей № 7;ул. Большая Бульварная, 2, г.Таганрог, Ростовская область, 347913;4096 Кбит/с;p35016;80.254.100.4;lt-0/0/0.15;172.23.176.9;10.61.128.64;10.24.188.10;Eth0/0/1;;;;;;
г.Таганрог;МБОУ средняя школа №8 имени А.Г.Ломакина;пер. Некрасовский, 73, г.Таганрог, Ростовская область, 347922;512 Кбит/с;p35316;80.254.100.4;lt-0/0/0.119;172.23.176.13;10.61.128.96;NEC-DSLAM1;vl204;Ушли к конкурентам;;;;;
г.Таганрог;МБОУ средняя общеобразовательная школа № 9 с углубленным изучением английского языка;пер. Красный, 20-22 , г.Таганрог, Ростовская область, 347900;20 Мбит/с;p35018;80.254.100.4;lt-0/0/0.163;172.23.175.241;10.61.127.128;10.30.43.128;0/0/15;;;;;;
г.Таганрог;МАОУ средняя  школа  № 10;ул. Фрунзе, 40/ пер.Мечниковский,8, г.Таганрог, Ростовская область, 347900;20 Мбит/с;p39253;80.254.100.4;lt-0/0/0.171;172.23.178.93;10.61.146.224;10.30.43.150;UN-10/LN-46;;;;;;
г.Таганрог;МБОУ средняя школа № 12;ул. Розы Люксембург, 240-2, г.Таганрог, Ростовская область, 347930;20 Мбит/с;p17050;80.254.100.4;lt-0/0/0.99;172.23.181.49;10.61.169.128;10.30.44.145;vl267;;;;;;
г.Таганрог;МБОУ гимназия «Мариинская»;ул. Чехова, 104/пер. Комсомольский, 7, г.Таганрог, Ростовская область, 347900;20 Мбит/с;p17330;80.254.100.4;lt-0/0/0.121;172.23.181.53;10.61.169.160;10.30.43.117;GE0/0/1;;;;;;
г.Таганрог;МБОУ средняя школа № 16;Площадь Мира, 6-а, г.Таганрог, Ростовская область, 347930;20 Мбит/с;p05850;80.254.100.4;lt-0/0/0.89;172.23.176.25;10.61.128.192;NEC_DSLAM6;vl226;;;;;;
г.Таганрог;МБОУ средняя школа № 20;ул.  Маршала  Жукова, 192, г.Таганрог, Ростовская область, 347917;20 Мбит/с;p35042;80.254.100.4;lt-0/0/0.103;172.23.176.33;10.61.129.0;10.30.44.21;vl213;;;;;;
г.Таганрог;МБОУ средняя школа № 23;ул. 3-я Линия, 51,  г.Таганрог, Ростовская область, 347942;4096 Кбит/с;p35102;80.254.100.4;lt-0/0/0.113;172.23.176.45;10.61.129.96;10.30.44.71;vl216;;;;;;
г.Таганрог;МБОУ средняя школа № 24;ул. Дзержинского, 149, г.Таганрог, Ростовская область, 347931;20 Мбит/с;p40330;80.254.100.4;lt-0/0/0.75;172.23.176.49;10.61.129.128;10.30.43.132;0/ 1/10;;;;;;
г.Таганрог;МБОУ средняя школа №25/11 (корпус А);347 910,г.Таганрог, пер.3-й Артиллерийский, 21;20 Мбит/с;p35203;80.254.100.4;lt-0/0/0.77;172.23.176.53;10.61.129.160;NEC-1_10.30.43.154;vl207;;;;;;
г.Таганрог;МБОУ средняя школа №25/11 (корпус Б);347 905,г.Таганрог, ул.Дзержинского, 115;2048 Кбит/с;;80.254.100.4;lt-0/0/0.81;172.23.176.17;10.61.128.128;NEC-1_10.30.43.154;vl210;;;;;;
г.Таганрог;МБОУ средняя школа № 26;Большой Проспект, 5, г.Таганрог, Ростовская область, 347930;2048 Кбит/с;p35292;80.254.100.4;lt-0/0/0.83;172.23.175.245;10.61.127.160;10.30.43.139;нет;;;;;;
г.Таганрог;МБОУ лицей № 28 (Корпус А);пер. Трудовых Резервов, 1 , г.Таганрог, Ростовская область, 307902;20 Mбит/с;p13300;80.254.100.4;lt-0/0/0.97;172.23.181.57;10.61.169.192;NEC_DSLAM6;vl268;;;;;;
г.Таганрог;МБОУ лицей № 28 (Корпус Б);Красногвардейский пер., 9 г.Таганрог, Ростовская область, 307923;2048 Кбит/с;;80.254.100.4;lt-0/0/0.87;172.23.176.21;10.61.128.160;NEC_DSLAM6;vl225;;;;;;
г.Таганрог;МБОУ средняя школа № 29;ул. Ломакина, 2-а, г.Таганрог, Ростовская область, 347900;4096 Кбит/с;p17380;80.254.100.4;lt-0/0/0.173;172.23.181.61; 10.61.169.224;10.24.184.14;Eth0/0/2;;;;;;
г.Таганрог;МБОУ средняя школа № 30;ул. Вишневая, 21, г.Таганрог, Ростовская область, 347916;20 Мбит/с;p35056;80.254.100.4;lt-0/0/0.13;172.23.176.61;10.61.129.224;NEC;vl218;;;;;;
г.Таганрог;МБОУ средняя школа № 31;ул. Бабушкина, № 43, г.Таганрог, Ростовская область, 347909;2048 Кбит/с;p35022;80.254.100.4;lt-0/0/0.109;172.23.176.65;10.61.130.0;NEC DSLAM 1;vl214;;;;;;
г.Таганрог;МБОУ средняя школа № 35;ул. Пархоменко, 5, г.Таганрог, Ростовская область, 347939;20 М;p35057;80.254.100.4;lt-0/0/0.25;172.23.176.73;10.61.130.64;10.24.186.22;Eth0/0/4;;;;;;
г.Таганрог;МБОУ средняя школа № 38 ;ул. Сергея Шило, 182-1, г.Таганрог, Ростовская область, 347932;20 М;p17450;80.254.100.4;lt-0/0/0.29;172.23.181.73;10.61.170.64; 10.24.194.1;Ethernet1/0/20;;;;;;
г.Таганрог;ГКОУ РО Таганрогская школа № 1;347923, Ростовская область, г. Таганрог, ул. Инструментальная 41-1;2048 Кбит/с;;80.254.100.4;lt-0/0/0.95;172.23.175.237;10.61.127.96;NEC_DSLAM6;vl229;;;;;;
г.Шахты;МБОУ г.Шахты Ростовской области СОШ №1;346517, г.Шахты Ростовской области, ул. Достоевского, 69;4096 Кбит/с;8631650109;80.254.100.4;lt-0/0/0.1021;172.23.176.81;10.61.130.128;10.30.62.11;1/0/31;;;;;;
г.Шахты;МБОУ г.Шахты Ростовской области Лицей №3 имени академика В.М. Глушкова;346500, г.Шахты Ростовской области, ул.Шевченко,94;4096 Кбит/с;8631650076;80.254.100.4;lt-0/0/0.355;172.23.181.81;10.61.170.128;10.30.62.14;0/3/22;;;;;;
г.Шахты;МБОУ г.Шахты Ростовской области Основная общеобразовательная школа №4;346530, г.Шахты Ростовской области, ул.Мировая Коммуна,32;2048 Кбит/с;8631650112;80.254.100.4;lt-0/0/0.423;172.23.176.185;10.61.133.192;10.30.62.4;14/0/7;;;;;;
г.Шахты;МБОУ г.Шахты Ростовской области Средняя общеобразовательная школа №5 имени И. И. Горностаева;346513, г.Шахты Ростовской области, пр. Победа Революции,11;2048 Кбит/с;8631650128;80.254.100.4;lt-0/0/0.353;172.23.181.77;10.61.170.96;10.30.62.14;0/13/21;;;;;;
г.Шахты;МБОУ г.Шахты Ростовской области Лицей №6;346504, г.Шахты Ростовской области, ул.Садовая,33а;2048 Кбит/с;8631656836;80.254.100.4;lt-0/0/0.363;172.23.181.85;10.61.170.160;10.30.62.9;2/0/38;;;;;;
г.Шахты;МБОУ г.Шахты Ростовской области СОШ №7;346512 г.Шахты, Ростовская область, ул.Безымянная,6;1024 Кбит/с;8631650075;80.254.100.4;lt-0/0/0.429;172.23.176.89;10.61.130.192;10.30.62.4;6/0/8;;;;;;
г.Шахты;МБОУ г.Шахты Ростовской области СОШ №9;346524, г.Шахты Ростовской области, ул.Стрельникова,40;1024 Кбит/с;8631650142;80.254.100.4;lt-0/0/0.365;172.23.181.89;10.61.170.192;10.30.62.9;2/0/47;;;;;;
г.Шахты;МБОУ г.Шахты Ростовской области Гимназия №10 имени М.В. Шаповалова;346500, г.Шахты, Ростовской области, пер.Короткий,2;2048 Кбит/с;8631650080;80.254.100.4;lt-0/0/0.421;172.23.176.97;10.61.131.0;10.30.62.4;3/0/34;;;;;;
г.Шахты;МБОУ г.Шахты Ростовской области Лицей №11 им. Б.В. Шопина;пер. Донской, д.37, г.Шахты Ростовской области, 346500;2048 Кбит/с;8631650077;20.0.0.162;;172.23.181.93;10.61.170.224;10.30.62.45;3 (vl236);;;;;;
г.Шахты;МБОУ г.Шахты Ростовской области СОШ №12;346519, г.Шахты Ростовской области, пер. Бугроватый, 28;1024 Кбит/с;8631650106;80.254.100.4;lt-0/0/0.427;172.23.176.101;10.61.131.32;10.30.62.4;14/0/47;;;;;;
г.Шахты;МБОУ г.Шахты РО СОШ №14 имени Героя Советского Союза И.К. Мирошникова;346519, г.Шахты Ростовской области, ул.Пограничная, 47-в;4096 Кбит/с;axu5tknajr;80.254.100.4;lt-0/0/0.339;172.23.176.105;10.61.131.64;10.62.3.41;GE0/0/2;;;;;;
г.Шахты;МБОУ г.Шахты Ростовской области СОШ №15 имени Д.В. Бобрышева;346518 г.Шахты Ростовской области, ул.Дачная,202-а;2048 Кбит/с;8631650137;80.254.100.4;lt-0/0/0.1019;172.23.176.109;10.61.131.96;10.30.62.11;1/0/30;;;;;;
г.Шахты;МБОУ г.Шахты Ростовской области Основная общеобразовательная Школа №17;346528, г.Шахты Ростовской области, ул.Лозовая, 33;2048 Кбит/с;8631650113;80.254.100.4;lt-0/0/0.1015;172.23.176.189;10.61.133.224;10.30.62.11;1/0/28;;;;;;
г.Шахты;МБОУ г.Шахты Ростовской области СОШ №23;346503, г.Шахты Ростовской области, ул.Волошиной,20;2048 Кбит/с;8631650134;80.254.100.4;lt-0/0/0.579;172.23.176.121;10.61.131.192;10.30.62.10;0/8/15;;;;;;
г.Шахты;МБОУ г.Шахты Ростовской области СОШ №25 им. А.Коренева;346503, г.Шахты Ростовской области, ул. Сапрыкина, 5;2048 Кбит/с;8631650139;80.254.100.4;lt-0/0/0.583;172.23.176.125;10.61.131.224;10.30.62.10;0/7/26;;;;;;
г.Шахты;МБОУ г.Шахты Ростовской области Лицей №26;346506, Россия, Ростовская обл., г.Шахты, пр.Ленинского Комсомола,51;1024 Кбит/с;8631650135;80.254.100.4;lt-0/0/0.393;172.23.181.101;10.61.171.32;10.30.62.203;1/0/16;;;;;;
г.Шахты;МБОУ г.Шахты Ростовской области СОШ №27 имени Д.И. Донского;346516, г.Шахты Ростовской области, ул.Азовская,46;1024 Кбит/с;8631650118;80.254.100.4;lt-0/0/0.585;172.23.176.129;10.61.132.0;10.30.62.10;0/12/13;;;;;;
г.Шахты;МБОУ основная  школа №28 г.Шахты Ростовской области;346503 г.Шахты, Ростовская область, ул. Врубовая, 27/29;1024 Кбит/с;8631650114;80.254.100.4;lt-0/0/0.361;172.23.176.193;10.61.134.0;10.30.62.9;10/0/36;;;;;;
